Gas Data
Time: 0.000000e+00
radius	rho	P	T	vel	nH1	fH1	fHeI	fHII	fHeII	fHeIII	q_eff_lya
10000.0	3.1402728471053144e-28	3.9400049226071694e-16	100.0	0.0	0.00014268659408999998	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10000.74	3.1375379707624836e-28	3.936573556360313e-16	100.0	0.0	0.00014256232775722714	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10001.47	3.151392800559894e-28	3.953956790321655e-16	100.0	0.0	0.00014319185855653696	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10002.21	3.1703114255548555e-28	3.977693414251585e-16	100.0	0.0	0.00014405147627029243	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10002.95	3.1597334542671013e-28	3.964421555093433e-16	100.0	0.0	0.00014357083819553954	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10003.69	3.099191510789514e-28	3.8884614182073086e-16	100.0	0.0	0.00014081995502869332	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10004.42	2.9925538752501575e-28	3.754666417130397e-16	100.0	0.0	0.00013597459229820725	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10005.16	2.8596036625858433e-28	3.587857825054735e-16	100.0	0.0	0.00012993364810251457	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10005.9	2.7256255582296013e-28	3.419759568506179e-16	100.0	0.0	0.0001238459989318864	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10006.63	2.6153764420509497e-28	3.2814333524076684e-16	100.0	0.0	0.00011883653903623904	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10007.37	2.5402591659832994e-28	3.1871859885990744e-16	100.0	0.0	0.00011542338712197423	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10008.11	2.49971730981964e-28	3.136319353553749e-16	100.0	0.0	0.00011358126076680365	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10008.85	2.4779782213635957e-28	3.1090439798202974e-16	100.0	0.0	0.00011259348784341787	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10009.58	2.456636869305061e-28	3.0822676338593953e-16	100.0	0.0	0.00011162378712415875	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10010.32	2.424344661627434e-28	3.0417515821000763e-16	100.0	0.0	0.00011015650534531114	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10011.06	2.3770483747906787e-28	2.9824103681257463e-16	100.0	0.0	0.00010800747358583805	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10011.79	2.3184918497191344e-28	2.9089412753858193e-16	100.0	0.0	0.00010534680315017635	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10012.53	2.2481810609234253e-28	2.8207244651099707e-16	100.0	0.0	0.00010215204668489374	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10013.27	2.1700880517749984e-28	2.722743539423965e-16	100.0	0.0	9.860368447557183e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10014.0	2.094278393189484e-28	2.6276274643085726e-16	100.0	0.0	9.515907233218312e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10014.74	2.020815309008192e-28	2.5354555647964003e-16	100.0	0.0	9.182108299700867e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10015.48	1.9551376777181e-28	2.4530518364621964e-16	100.0	0.0	8.883684628480051e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10016.22	1.904266228033175e-28	2.389224974295259e-16	100.0	0.0	8.652536755496539e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10016.95	1.867943445568209e-28	2.3436518828211617e-16	100.0	0.0	8.487494596100248e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10017.69	1.8414686694902483e-28	2.31043478572457e-16	100.0	0.0	8.36719945578014e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10018.43	1.8240706966423096e-28	2.288606077837785e-16	100.0	0.0	8.288147169223862e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10019.16	1.8164118588409787e-28	2.278996766765816e-16	100.0	0.0	8.2533472160425e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10019.9	1.8196292371613192e-28	2.2830335135828055e-16	100.0	0.0	8.267966224542083e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10020.64	1.8321588062647721e-28	2.2987539832201036e-16	100.0	0.0	8.324897632347458e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10021.38	1.8502757225838456e-28	2.3214847276346886e-16	100.0	0.0	8.40721662852529e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10022.11	1.870393129223891e-28	2.346725426469165e-16	100.0	0.0	8.498625381049378e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10022.85	1.8870715064934964e-28	2.3676512796490624e-16	100.0	0.0	8.574407994962744e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10023.59	1.8967494926895398e-28	2.3797939548591114e-16	100.0	0.0	8.618382482378269e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10024.32	1.8988346733038414e-28	2.3824101676166896e-16	100.0	0.0	8.627857051449279e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
10025.06	1.8943681263820967e-28	2.376806126912089e-16	100.0	0.0	8.607562115351787e-05	1.0	1.0	0.0	0.0	0.0	5.26777e-11
