step_number	time	timestep	I_lya	inc_photon_flux	nH_boundary	H1_IF_x	H1_IF_v	HI_IF_v_flxMthd	He1_IF_x	He1_IF_v	He3_IF_x	He3_IF_v	width_IF
0 	0.000000e+00 	4.016064e-05 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	nan 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	
1 	4.016064e-05 	4.016064e-01 	1.796227e-12 	0.000000e+00 	1.426273e-04 	3.068108e+25 	-4.150087e+06 	0.000000e+00 	0.000000e+00 	-2.422195e+12 	0.000000e+00 	0.000000e+00 	3.068878e+25 	
2 	4.016466e-01 	2.795886e-02 	4.399793e-12 	0.000000e+00 	1.426043e-04 	3.068150e+25 	-3.114065e+07 	0.000000e+00 	0.000000e+00 	-2.422250e+12 	0.000000e+00 	0.000000e+00 	3.068920e+25 	
442 	8.034242e-01 	1.023503e-03 	5.839706e-10 	4.433743e+04 	1.436260e-04 	3.068566e+25 	2.879500e+08 	2.831343e+08 	3.068826e+25 	5.003647e+08 	0.000000e+00 	0.000000e+00 	1.442436e+22 	
820 	1.205386e+00 	1.453439e-03 	2.426780e-09 	4.017839e+04 	1.434548e-04 	3.068915e+25 	2.755005e+08 	2.571065e+08 	3.069494e+25 	5.276520e+08 	0.000000e+00 	0.000000e+00 	1.628775e+22 	
1142 	1.606838e+00 	1.723033e-03 	4.215856e-09 	3.915688e+04 	1.378774e-04 	3.069268e+25 	2.790535e+08 	2.606745e+08 	3.070123e+25 	4.965289e+08 	0.000000e+00 	0.000000e+00 	1.804209e+22 	
1432 	2.008080e+00 	1.907863e-03 	5.428615e-09 	3.889020e+04 	1.283788e-04 	3.069641e+25 	2.944491e+08 	2.778936e+08 	3.070735e+25 	4.832521e+08 	0.000000e+00 	0.000000e+00 	1.977430e+22 	
1702 	2.410064e+00 	2.080517e-03 	6.238128e-09 	3.880792e+04 	1.186832e-04 	3.070044e+25 	3.183233e+08 	2.997391e+08 	3.071333e+25 	4.721089e+08 	0.000000e+00 	0.000000e+00 	2.148532e+22 	
1958 	2.812752e+00 	2.294094e-03 	6.836602e-09 	3.883208e+04 	1.136588e-04 	3.070479e+25 	3.428781e+08 	3.130439e+08 	3.071942e+25 	4.810932e+08 	0.000000e+00 	0.000000e+00 	2.312695e+22 	
2222 	3.213565e+00 	1.532338e-03 	7.278828e-09 	3.888646e+04 	1.116857e-04 	3.070925e+25 	3.523094e+08 	3.189569e+08 	3.072582e+25 	5.052291e+08 	0.000000e+00 	0.000000e+00 	2.465064e+22 	
2461 	3.614544e+00 	2.294378e-03 	7.569747e-09 	3.889276e+04 	1.080508e-04 	3.071389e+25 	3.661438e+08 	3.296217e+08 	3.073264e+25 	5.378580e+08 	0.000000e+00 	0.000000e+00 	2.643747e+22 	
2690 	4.016545e+00 	2.517417e-03 	7.726825e-09 	3.889304e+04 	1.015688e-04 	3.071882e+25 	3.891189e+08 	3.504141e+08 	3.073959e+25 	5.489889e+08 	0.000000e+00 	0.000000e+00 	2.834846e+22 	
2913 	4.418674e+00 	2.629200e-03 	7.810871e-09 	3.889109e+04 	9.342163e-05 	3.072413e+25 	4.198832e+08 	3.805666e+08 	3.074639e+25 	5.369890e+08 	0.000000e+00 	0.000000e+00 	3.011667e+22 	
3131 	4.819603e+00 	2.706976e-03 	7.887779e-09 	3.892187e+04 	8.645981e-05 	3.072985e+25 	4.514374e+08 	4.111109e+08 	3.075293e+25 	5.161395e+08 	0.000000e+00 	0.000000e+00 	3.145506e+22 	
3346 	5.222127e+00 	2.771198e-03 	8.004892e-09 	3.896578e+04 	8.307991e-05 	3.073597e+25 	4.832695e+08 	4.280729e+08 	3.075941e+25 	5.120403e+08 	0.000000e+00 	0.000000e+00 	3.225234e+22 	
3556 	5.623157e+00 	2.540590e-03 	8.155885e-09 	3.901650e+04 	8.296545e-05 	3.074219e+25 	4.910170e+08 	4.292050e+08 	3.076593e+25 	5.142172e+08 	0.000000e+00 	0.000000e+00 	3.270203e+22 	
3742 	6.026696e+00 	3.051078e-03 	8.296224e-09 	3.902559e+04 	8.516490e-05 	3.074837e+25 	4.875620e+08 	4.183713e+08 	3.077235e+25 	5.069545e+08 	0.000000e+00 	0.000000e+00 	3.279237e+22 	
3948 	6.427760e+00 	2.892101e-03 	8.417380e-09 	3.902511e+04 	8.626898e-05 	3.075439e+25 	4.751434e+08 	4.130856e+08 	3.077829e+25 	4.689797e+08 	0.000000e+00 	0.000000e+00 	3.261857e+22 	
4149 	6.827606e+00 	2.155708e-03 	8.544709e-09 	3.900389e+04 	8.520168e-05 	3.076044e+25 	4.774973e+08 	4.179639e+08 	3.078391e+25 	4.435312e+08 	0.000000e+00 	0.000000e+00 	3.221914e+22 	
4332 	7.231632e+00 	3.137761e-03 	8.697822e-09 	3.894472e+04 	8.407309e-05 	3.076664e+25 	4.901232e+08 	4.228619e+08 	3.078965e+25 	4.533867e+08 	0.000000e+00 	0.000000e+00 	3.166529e+22 	
4533 	7.630731e+00 	3.036697e-03 	8.855359e-09 	3.891897e+04 	8.766544e-05 	3.077263e+25 	4.728898e+08 	4.055038e+08 	3.079547e+25 	4.595139e+08 	0.000000e+00 	0.000000e+00 	3.134497e+22 	
4733 	8.032310e+00 	2.805891e-03 	8.978826e-09 	3.891285e+04 	9.374204e-05 	3.077835e+25 	4.514173e+08 	3.794918e+08 	3.080147e+25 	4.734677e+08 	0.000000e+00 	0.000000e+00 	3.103608e+22 	
4932 	8.434628e+00 	2.531098e-03 	9.024715e-09 	3.887109e+04 	9.652401e-05 	3.078380e+25 	4.300401e+08 	3.682980e+08 	3.080751e+25 	4.768005e+08 	0.000000e+00 	0.000000e+00 	3.092304e+22 	
5129 	8.835746e+00 	2.106863e-03 	9.021658e-09 	3.880512e+04 	9.435258e-05 	3.078928e+25 	4.325011e+08 	3.760363e+08 	3.081363e+25 	4.833939e+08 	0.000000e+00 	0.000000e+00 	3.133927e+22 	
5320 	9.237567e+00 	1.041610e-03 	8.987661e-09 	3.874249e+04 	9.052343e-05 	3.079491e+25 	4.443345e+08 	3.911108e+08 	3.081997e+25 	5.006441e+08 	0.000000e+00 	0.000000e+00 	3.195720e+22 	
5490 	9.640706e+00 	3.230674e-03 	8.953841e-09 	3.869982e+04 	8.846963e-05 	3.080078e+25 	4.635236e+08 	3.996344e+08 	3.082649e+25 	5.144034e+08 	0.000000e+00 	0.000000e+00 	3.292051e+22 	
5625 	1.004233e+01 	3.094706e-03 	8.905517e-09 	3.869713e+04 	8.802194e-05 	3.080663e+25 	4.618362e+08 	4.016122e+08 	3.083287e+25 	5.039718e+08 	0.000000e+00 	0.000000e+00 	3.354524e+22 	
5751 	1.044218e+01 	3.395395e-03 	8.869456e-09 	3.869951e+04 	8.559163e-05 	3.081262e+25 	4.730068e+08 	4.128837e+08 	3.083916e+25 	4.962526e+08 	0.000000e+00 	0.000000e+00 	3.414047e+22 	
5880 	1.084440e+01 	3.312050e-03 	8.848528e-09 	3.869132e+04 	8.239151e-05 	3.081883e+25 	4.903010e+08 	4.286015e+08 	3.084534e+25 	4.880640e+08 	0.000000e+00 	0.000000e+00 	3.442321e+22 	
