skewer,alpha,step,t,dt,F_lya,F_inc,locIF,vIF_fd,vIF_fm,T_center,width_IF,nH_avg,nH_center,C_em
0000,-1.0,1134.0,0.393049,0.0004978072,618.714,0.0,-10000.0,-24912120.0,,0.0,8.394689e+22,5.615848e-05,0.0,
0000,-1.0,1885.0,0.7860896,0.001046828,6378.242,0.0,2.984445884640081,5938.777,0.0,28292.94,1.113408e+23,6.153162e-05,3.69413e-05,0.1990244
0000,-1.0,2383.0,1.179526,0.001466401,15084.27,0.0,6.3447828904736525,8370.541,0.0,30699.58,1.343105e+23,6.224195e-05,4.146909e-05,0.2465181
0000,-1.0,2790.0,1.572571,0.00176275,22766.79,0.0,9.47504860661138,7795.689,0.0,30863.4,1.560734e+23,6.148458e-05,4.675332e-05,0.2839901
0000,-1.0,3158.0,1.964398,0.001712395,28276.55,10285.19,12.381723914451868,7244.446,1798.876,30154.8,1.771134e+23,6.01891e-05,5.262276e-05,0.3103541
0000,-1.0,3499.0,2.35709,0.001111518,31944.88,10128.41,15.077770576797775,6711.127,1589.72,29237.87,1.982407e+23,5.843187e-05,5.867966e-05,0.3254671
0000,-1.0,3811.0,2.749578,0.0002350497,34334.3,10017.22,17.569669475049523,6205.954,1432.606,28382.62,2.208768e+23,5.633556e-05,6.443423e-05,0.3359989
0000,-1.0,4129.0,3.14443,0.002432843,35920.85,9927.739,19.931950745300128,5889.918,1315.456,27662.96,2.465437e+23,5.381986e-05,6.957299e-05,0.3421249
0000,-1.0,4437.0,3.536669,0.002540752,36961.55,9856.806,22.148412184056724,5521.747,1233.81,27110.16,2.723848e+23,5.153402e-05,7.366702e-05,0.3445877
0000,-1.0,4756.0,3.927816,0.00144611,37661.2,9798.017,24.270900842515402,5286.896,1179.793,26704.54,2.964154e+23,4.96768e-05,7.659426e-05,0.343186
0000,-1.0,5078.0,4.321325,0.00178758,38142.81,9745.351,26.370706416073517,5232.189,1148.123,26424.89,3.197755e+23,4.824289e-05,7.829229e-05,0.3410944
0000,-1.0,5419.0,4.713618,0.002043257,38468.57,9699.17,28.451069345432188,5181.001,1136.375,26260.32,3.442695e+23,4.671529e-05,7.87299e-05,0.3370685
0000,-1.0,5775.0,5.106419,0.001297041,38680.15,9659.048,30.544394037588063,5214.294,1142.569,26197.3,3.714319e+23,4.502027e-05,7.797759e-05,0.3325897
0000,-1.0,6113.0,5.500184,0.002165819,38797.16,9621.496,32.69604666234591,5362.914,1165.466,26225.71,3.986153e+23,4.350972e-05,7.614261e-05,0.3276022
0000,-1.0,6443.0,5.893432,0.002227379,38824.44,9588.722,34.918988982501105,5532.47,1204.44,26336.32,4.223123e+23,4.254001e-05,7.341814e-05,0.322629
0000,-1.0,6771.0,6.286464,0.002396938,38764.67,9559.292,37.24238496435464,5786.534,1258.436,26517.99,4.433333e+23,4.181615e-05,7.003969e-05,0.3157886
0000,-1.0,7119.0,6.678406,0.001993443,38626.33,9533.548,39.67919637070554,6072.925,1325.433,26755.1,4.637505e+23,4.124181e-05,6.630536e-05,0.3093505
0000,-1.0,7491.0,7.070876,0.001760055,38427.32,9510.409,42.27478937135493,6469.064,1402.997,27032.29,4.858713e+23,4.061183e-05,6.247146e-05,0.3032733
0000,-1.0,7860.0,7.462731,0.001369038,38196.46,9489.866,45.025923525599865,6849.538,1486.58,27326.36,5.099155e+23,3.97828e-05,5.881514e-05,0.2961506
0000,-1.0,7861.0,7.4641,0.001459359,38195.58,9489.694,45.03564484769959,26.66505,1486.882,27327.47,5.100052e+23,3.97828e-05,5.880207e-05,0.2961562
0000,-1.0,8188.0,7.855604,0.0002722906,37962.0,9472.189,47.945560596241194,7251.59,1572.225,27620.02,5.329337e+23,3.911994e-05,5.549175e-05,0.289671
0000,-1.0,8506.0,8.249636,0.002420455,37740.4,9452.661,51.07582631237892,7791.595,1657.157,27905.55,5.536084e+23,3.867091e-05,5.25242e-05,0.2833365
0000,-1.0,8810.0,8.641422,0.0006310496,37537.53,9439.502,54.31950745301401,8081.623,1741.527,28179.85,5.719422e+23,3.838644e-05,4.98959e-05,0.2773098
0000,-1.0,9123.0,9.03382,0.0004194914,37336.06,9425.969,57.76085547634466,8575.854,1834.081,28477.36,5.889714e+23,3.81916e-05,4.729537e-05,0.2709318
0000,-1.0,9459.0,9.427718,0.002622564,37121.46,9410.705,61.454957874269894,9202.329,1952.635,28855.58,6.049228e+23,3.809208e-05,4.433427e-05,0.2652355
0000,-1.0,9800.0,9.820808,0.002622013,36896.45,9399.093,65.41801685029168,9871.334,2122.874,29383.2,6.192564e+23,3.808099e-05,4.070537e-05,0.2603405
0000,-1.0,10117.0,10.21224,0.0002888367,36670.68,9394.138,69.76668826960486,10834.1,2370.286,30111.99,5.907657e+23,3.783514e-05,3.640703e-05,0.2754368
